receive_osal_time_us,estimated_measurement_osal_time_us,sequence_number,estimated_period_us,time_estimate_ready,time_discontinuity_detected,angle_deg,distance_m,signal_strength,measurement_valid
11767774,11765764,3248,1990.627421798014,1,0,-42.59999847412109,0.4900000095367432,100,1
11769765,11767754,3249,1990.627421798014,1,0,-42.15000152587891,0.4699999988079071,100,1
11771782,11769748,3250,1990.885937438412,1,0,-42.15000152587891,0.4699999988079071,100,1
11773765,11771739,3251,1990.885937438412,1,0,-41.70000076293945,0.4799999892711639,100,1
11775690,11773730,3252,1990.885937438412,1,0,-41.25,0.4600000083446503,100,1
11777726,11775721,3253,1990.885937438412,1,0,-41.25,0.4799999892711639,100,1
11779706,11777712,3254,1990.885937438412,1,0,-40.79999923706055,0.4399999976158142,100,1
11781696,11779703,3255,1990.885937438412,1,0,-40.34000015258789,0.4699999988079071,100,1
11783673,11781694,3256,1990.885937438412,1,0,-39.90000152587891,0.449999988079071,100,1
11785662,11783685,3257,1990.885937438412,1,0,-39.90000152587891,0.4399999976158142,100,1
11787669,11785676,3258,1990.885937438412,1,0,-39.45000076293945,0.4300000071525574,100,1
11789681,11787666,3259,1990.885937438412,1,0,-39,0.449999988079071,100,1
11791644,11789657,3260,1990.885937438412,1,0,-38.54999923706055,0.449999988079071,100,1
11793636,11791648,3261,1990.885937438412,1,0,-38.09000015258789,0.449999988079071,100,1
11795633,11793639,3262,1990.885937438412,1,0,-37.65000152587891,0.449999988079071,100,1
11797668,11795630,3263,1990.885937438412,1,0,-37.20000076293945,0.4699999988079071,100,1
11799614,11797621,3264,1990.885937438412,1,0,-36.75,0.4600000083446503,100,1
11801610,11799612,3265,1990.885937438412,1,0,-36.29999923706055,0.449999988079071,100,1
11803585,11801603,3266,1990.885937438412,1,0,-35.84000015258789,0.449999988079071,100,1
11805563,11803594,3267,1990.885937438412,1,0,-35.40000152587891,0.4600000083446503,100,1
11807557,11805584,3268,1990.885937438412,1,0,-34.5,0.449999988079071,100,1
11809551,11807575,3269,1990.885937438412,1,0,-34.04999923706055,0.449999988079071,100,1
11811561,11809566,3270,1990.885937438412,1,0,-33.13999938964844,0.4399999976158142,100,1
11813556,11811557,3271,1990.885937438412,1,0,-32.25,0.4399999976158142,100,1
11815542,11813548,3272,1990.885937438412,1,0,-31.35000038146973,0.4399999976158142,100,1
11817578,11815539,3273,1990.885937438412,1,0,-30.45000076293945,0.449999988079071,100,1
11819500,11817530,3274,1990.885937438412,1,0,-29.10000038146973,0.4600000083446503,100,1
11821495,11819521,3275,1990.885937438412,1,0,-28.20000076293945,0.4699999988079071,100,1
11823493,11821512,3276,1990.885937438412,1,0,-27.29999923706055,0.4699999988079071,97,1
11825496,11823502,3277,1990.885937438412,1,0,-26.39999961853027,0.4600000083446503,100,1
11827501,11825493,3278,1990.885937438412,1,0,-25.5,0.4600000083446503,100,1
11829490,11827484,3279,1990.885937438412,1,0,-24.14999961853027,0.449999988079071,100,1
11831491,11829475,3280,1990.885937438412,1,0,-23.25,0.4600000083446503,100,1
11833498,11831466,3281,1990.885937438412,1,0,-22.35000038146973,0.4600000083446503,100,1
11835498,11833457,3282,1990.885937438412,1,0,-21.45000076293945,0.4600000083446503,100,1
11837408,11835448,3283,1990.885937438412,1,0,-20.10000038146973,0.4699999988079071,100,1
11839387,11837439,3284,1990.885937438412,1,0,-19.20000076293945,0.4699999988079071,100,1
11841390,11839429,3285,1990.885937438412,1,0,-18.29999923706055,0.4699999988079071,100,1
11843368,11841420,3286,1990.885937438412,1,0,-17.39999961853027,0.4699999988079071,100,1
11845368,11843411,3287,1990.885937438412,1,0,-16.5,0.6000000238418579,100,1
11847431,11845402,3288,1990.885937438412,1,0,-15.14999961853027,1.049999952316284,100,1
11849378,11847393,3289,1990.885937438412,1,0,-14.23999977111816,1.090000033378601,100,1
11851355,11849384,3290,1990.885937438412,1,0,-13.35000038146973,1.100000023841858,100,1
11853354,11851375,3291,1990.885937438412,1,0,-12.44999980926514,1.110000014305115,100,1
11855348,11853366,3292,1990.885937438412,1,0,-11.10000038146973,1.120000004768372,100,1
